时刻,当前温度-2m,当前相对湿度-2m,当前降水量,当前体感温度,天气编码,当前风速-10m,当前总云量,当前风向,当前短波太阳辐射-即时,是否白天-0黑1白
2024-01-01 08:00:00,11.0,68,0.0,9.5,1,2.6,35,74,136.8,1
2024-01-01 09:00:00,11.8,63,0.0,9.8,2,5.6,40,63,265.5,1
2024-01-01 10:00:00,13.1,57,0.0,10.3,2,10.2,46,58,400.2,1
2024-01-01 11:00:00,14.1,53,0.0,10.8,2,13.6,51,58,509.5,1
2024-01-01 12:00:00,14.5,51,0.0,10.9,2,15.5,49,62,566.6,1
2024-01-01 13:00:00,14.5,51,0.0,11.0,2,16.2,46,69,567.7,1
2024-01-01 14:00:00,14.6,51,0.0,10.8,2,17.0,44,73,509.5,1
2024-01-01 15:00:00,14.0,55,0.0,10.8,1,13.5,24,81,380.4,1
2024-01-01 16:00:00,13.2,56,0.0,10.2,1,11.9,17,90,232.7,1
2024-01-01 17:00:00,12.5,57,0.0,9.7,1,9.5,9,99,52.6,1
2024-01-01 18:00:00,11.7,59,0.0,9.4,0,6.0,6,107,0.0,0
2024-01-01 19:00:00,11.5,61,0.0,9.6,0,3.6,0,143,0.0,0
2024-01-01 20:00:00,11.6,63,0.0,10.0,0,2.3,0,129,0.0,0
2024-01-01 21:00:00,11.3,65,0.0,9.9,0,1.1,0,162,0.0,0
2024-01-01 22:00:00,11.2,64,0.0,9.8,1,0.8,26,243,0.0,0
2024-01-01 23:00:00,10.9,66,0.0,9.2,0,2.6,6,286,0.0,0
2024-01-02 00:00:00,10.0,72,0.0,8.3,0,4.0,0,275,0.0,0
2024-01-02 01:00:00,9.2,79,0.0,7.4,0,4.7,0,266,0.0,0
2024-01-02 02:00:00,8.8,80,0.0,7.0,0,4.7,0,270,0.0,0
2024-01-02 03:00:00,8.3,82,0.0,6.5,0,5.1,0,262,0.0,0
2024-01-02 04:00:00,7.7,85,0.0,5.8,0,4.8,0,257,0.0,0
2024-01-02 05:00:00,7.1,88,0.0,5.2,0,5.2,0,254,0.0,0
2024-01-02 06:00:00,6.8,90,0.0,4.9,0,5.2,0,254,0.0,0
2024-01-02 07:00:00,6.6,90,0.0,4.7,0,4.9,0,253,6.9,1
2024-01-02 08:00:00,7.9,87,0.0,6.2,0,4.8,0,257,139.1,1
2024-01-02 09:00:00,11.2,68,0.0,9.6,0,3.7,0,281,315.3,1
2024-01-02 10:00:00,13.3,56,0.0,11.5,0,3.8,0,311,477.8,1
2024-01-02 11:00:00,15.0,53,0.0,13.4,0,4.1,0,345,596.2,1
2024-01-02 12:00:00,16.5,51,0.0,15.5,0,5.1,0,8,653.5,1
2024-01-02 13:00:00,17.7,50,0.0,16.9,1,4.9,29,36,631.4,1
2024-01-02 14:00:00,18.2,50,0.0,16.7,0,6.9,0,81,537.7,1
2024-01-02 15:00:00,18.3,51,0.0,16.6,0,7.9,0,90,392.9,1
2024-01-02 16:00:00,17.8,53,0.0,16.1,0,8.4,0,97,213.0,1
2024-01-02 17:00:00,16.6,59,0.0,14.9,2,8.9,46,104,40.7,1
2024-01-02 18:00:00,15.2,65,0.0,13.8,3,7.1,96,105,0.0,0
2024-01-02 19:00:00,14.5,69,0.0,13.5,3,4.8,100,103,0.0,0
2024-01-02 20:00:00,14.0,72,0.1,13.3,3,2.7,97,67,0.0,0
2024-01-02 21:00:00,13.6,75,0.2,13.0,80,2.8,99,50,0.0,0
2024-01-02 22:00:00,13.6,76,0.0,13.1,3,2.6,98,326,0.0,0
2024-01-02 23:00:00,13.5,77,0.2,13.1,3,2.6,92,326,0.0,0
2024-01-03 00:00:00,13.6,78,0.0,13.5,3,1.1,94,342,0.0,0
2024-01-03 01:00:00,13.6,79,0.0,13.3,3,1.8,88,270,0.0,0
2024-01-03 02:00:00,13.7,80,0.0,13.6,3,1.5,90,315,0.0,0
2024-01-03 03:00:00,13.7,80,0.0,13.7,3,0.4,91,360,0.0,0
2024-01-03 04:00:00,13.7,80,0.0,13.7,3,0.8,85,153,0.0,0
2024-01-03 05:00:00,13.7,80,0.0,13.7,2,1.0,74,45,0.0,0
2024-01-03 06:00:00,13.7,80,0.0,13.7,2,1.1,50,342,0.0,0
2024-01-03 07:00:00,13.4,80,0.0,12.7,2,5.6,55,333,7.8,1
2024-01-03 08:00:00,14.5,67,0.0,12.7,2,9.4,41,320,127.0,1
2024-01-03 09:00:00,15.4,62,0.0,13.0,2,13.5,64,312,291.4,1
2024-01-03 10:00:00,15.8,60,0.0,12.8,2,17.6,79,316,396.0,1
2024-01-03 11:00:00,16.0,59,0.0,12.9,3,17.6,95,317,375.2,1
2024-01-03 12:00:00,16.4,58,0.0,13.4,3,16.9,89,320,404.8,1
2024-01-03 13:00:00,16.6,57,0.0,13.8,2,15.6,67,326,351.4,1
2024-01-03 14:00:00,17.1,52,0.0,14.3,2,14.3,62,335,268.5,1
2024-01-03 15:00:00,17.5,48,0.0,14.7,2,13.1,61,351,318.8,1
2024-01-03 16:00:00,17.6,46,0.0,14.9,2,11.7,63,9,168.2,1
2024-01-03 17:00:00,16.6,53,0.0,14.3,2,10.2,56,67,35.9,1
2024-01-03 18:00:00,14.3,72,0.0,12.7,2,10.0,71,103,0.0,0
2024-01-03 19:00:00,13.2,76,0.0,11.9,2,7.5,77,125,0.0,0
2024-01-03 20:00:00,12.7,76,0.0,11.5,2,5.9,74,137,0.0,0
2024-01-03 21:00:00,12.2,78,0.0,11.1,2,4.9,57,144,0.0,0
2024-01-03 22:00:00,11.8,80,0.0,10.7,2,4.5,55,119,0.0,0
2024-01-03 23:00:00,11.4,78,0.0,10.2,1,4.7,39,94,0.0,0
2024-01-04 00:00:00,11.1,76,0.0,9.8,1,4.3,44,66,0.0,0
2024-01-04 01:00:00,10.9,74,0.0,9.4,1,4.3,43,42,0.0,0
2024-01-04 02:00:00,10.8,66,0.0,8.8,2,5.0,32,30,0.0,0
2024-01-04 03:00:00,10.4,67,0.0,8.4,1,4.5,32,14,0.0,0
2024-01-04 04:00:00,9.9,70,0.0,8.1,1,4.0,34,360,0.0,0
2024-01-04 05:00:00,9.4,72,0.0,7.7,1,3.3,10,347,0.0,0
2024-01-04 06:00:00,9.0,74,0.0,7.3,1,2.9,17,330,0.0,0
2024-01-04 07:00:00,8.5,78,0.0,6.8,1,2.8,26,320,9.1,1
2024-01-04 08:00:00,8.8,75,0.0,7.0,1,3.1,11,324,147.4,1
2024-01-04 09:00:00,10.5,66,0.0,8.6,0,4.2,5,340,327.2,1
2024-01-04 10:00:00,12.1,51,0.0,9.3,1,7.6,22,19,473.6,1
2024-01-04 11:00:00,13.3,47,0.0,10.0,1,10.3,13,29,585.9,1
2024-01-04 12:00:00,14.5,43,0.0,11.6,0,11.5,0,39,666.1,1
2024-01-04 13:00:00,15.4,40,0.0,12.5,0,11.8,0,50,650.4,1
2024-01-04 14:00:00,15.5,41,0.0,12.3,0,12.6,0,59,563.4,1
2024-01-04 15:00:00,15.4,42,0.0,11.8,0,13.3,0,71,413.6,1
2024-01-04 16:00:00,14.8,46,0.0,11.3,0,13.4,0,76,231.4,1
2024-01-04 17:00:00,13.7,52,0.0,10.6,0,11.6,0,85,47.5,1
2024-01-04 18:00:00,12.6,59,0.0,10.4,1,6.3,38,103,0.0,0
2024-01-04 19:00:00,11.9,65,0.0,10.4,2,2.3,44,129,0.0,0
2024-01-04 20:00:00,12.3,66,0.0,11.1,2,1.8,35,37,0.0,0
2024-01-04 21:00:00,11.9,66,0.0,10.6,1,2.3,20,309,0.0,0
2024-01-04 22:00:00,11.0,73,0.0,9.7,0,3.3,5,276,0.0,0
2024-01-04 23:00:00,9.6,82,0.0,8.0,0,5.1,0,274,0.0,0
2024-01-05 00:00:00,8.6,87,0.0,7.0,0,5.0,0,270,0.0,0
2024-01-05 01:00:00,8.1,89,0.0,6.4,0,5.8,0,274,0.0,0
2024-01-05 02:00:00,8.1,86,0.0,6.3,0,5.8,27,277,0.0,0
2024-01-05 03:00:00,7.7,87,0.0,5.9,0,4.7,0,274,0.0,0
2024-01-05 04:00:00,7.3,90,0.0,5.5,0,4.7,0,261,0.0,0
2024-01-05 05:00:00,7.1,90,0.0,5.4,1,4.4,17,261,0.0,0
2024-01-05 06:00:00,7.2,90,0.0,5.4,1,4.7,37,261,0.0,0
2024-01-05 07:00:00,7.4,88,0.0,5.8,2,3.6,62,264,10.7,1
2024-01-05 08:00:00,9.1,85,0.0,7.7,2,4.4,69,279,116.8,1
2024-01-05 09:00:00,11.9,69,0.0,10.5,1,3.6,42,307,258.7,1
2024-01-05 10:00:00,14.3,52,0.0,12.5,1,3.6,34,323,463.5,1
2024-01-05 11:00:00,16.2,47,0.0,14.4,0,3.9,0,338,595.7,1
2024-01-05 12:00:00,17.9,42,0.0,16.8,1,3.6,30,354,659.2,1
2024-01-05 13:00:00,19.2,39,0.0,18.3,0,2.5,0,8,637.0,1
2024-01-05 14:00:00,20.0,35,0.0,18.6,1,1.8,23,37,547.9,1
2024-01-05 15:00:00,20.3,35,0.0,18.8,1,1.5,35,14,401.0,1
2024-01-05 16:00:00,20.2,37,0.0,18.6,0,3.3,0,6,223.6,1
2024-01-05 17:00:00,19.5,40,0.0,18.0,0,2.8,0,50,48.4,1
2024-01-05 18:00:00,17.6,51,0.0,16.4,0,3.4,3,108,0.0,0
2024-01-05 19:00:00,15.2,68,0.0,14.3,1,4.6,38,129,0.0,0
2024-01-05 20:00:00,13.7,83,0.0,13.4,1,3.6,0,143,0.0,0
2024-01-05 21:00:00,12.5,91,0.0,12.3,0,3.2,5,180,0.0,0
2024-01-05 22:00:00,11.1,97,0.0,10.8,45,3.3,43,193,0.0,0
2024-01-05 23:00:00,10.2,100,0.0,10.0,45,2.3,66,231,0.0,0
2024-01-06 00:00:00,10.0,97,0.0,9.4,45,3.4,50,238,0.0,0
2024-01-06 01:00:00,9.2,99,0.0,8.4,45,3.9,73,236,0.0,0
2024-01-06 02:00:00,9.0,97,0.0,8.1,45,4.1,58,255,0.0,0
2024-01-06 03:00:00,8.7,96,0.0,7.6,45,3.9,61,248,0.0,0
2024-01-06 04:00:00,8.5,96,0.0,7.4,2,4.2,52,239,0.0,0
2024-01-06 05:00:00,8.3,95,0.0,7.1,2,3.9,53,236,0.0,0
2024-01-06 06:00:00,8.1,95,0.0,6.9,2,3.9,54,236,0.0,0
2024-01-06 07:00:00,8.0,95,0.0,6.8,2,3.6,69,233,13.1,1
2024-01-06 08:00:00,9.5,90,0.0,8.5,2,3.4,36,252,130.0,1
2024-01-06 09:00:00,13.1,79,0.0,12.9,1,1.1,20,270,286.9,1
2024-01-06 10:00:00,16.2,55,0.0,15.1,0,2.3,0,51,480.8,1
2024-01-06 11:00:00,18.0,46,0.0,16.6,0,4.2,0,59,602.3,1
2024-01-06 12:00:00,19.6,41,0.0,18.8,1,3.3,13,49,658.4,1
2024-01-06 13:00:00,20.7,39,0.0,19.9,1,3.9,16,56,632.3,1
2024-01-06 14:00:00,21.2,41,0.0,19.8,1,6.8,24,65,542.6,1
2024-01-06 15:00:00,20.9,45,0.0,18.9,1,11.1,14,77,403.9,1
2024-01-06 16:00:00,19.6,52,0.0,17.6,0,13.1,0,98,226.5,1
2024-01-06 17:00:00,18.0,53,0.0,16.1,0,10.1,0,107,49.4,1
2024-01-06 18:00:00,16.4,57,0.0,14.8,1,7.3,30,99,0.0,0
2024-01-06 19:00:00,15.2,61,0.0,13.8,2,5.2,56,102,0.0,0
2024-01-06 20:00:00,14.2,67,0.0,13.1,2,4.3,55,114,0.0,0
2024-01-06 21:00:00,13.3,71,0.0,12.4,2,3.1,55,135,0.0,0
2024-01-06 22:00:00,12.9,74,0.0,12.1,2,2.7,68,157,0.0,0
2024-01-06 23:00:00,12.6,75,0.0,11.9,2,2.3,65,162,0.0,0
2024-01-07 00:00:00,12.5,75,0.0,11.8,2,2.2,66,189,0.0,0
2024-01-07 01:00:00,12.6,73,0.0,11.8,2,1.8,61,217,0.0,0
2024-01-07 02:00:00,13.1,67,0.0,12.3,2,0.5,82,225,0.0,0
2024-01-07 03:00:00,12.9,67,0.0,12.1,2,0.5,74,135,0.0,0
2024-01-07 04:00:00,12.8,66,0.0,11.9,2,0.4,78,270,0.0,0
2024-01-07 05:00:00,12.8,65,0.0,11.9,3,0.4,95,360,0.0,0
2024-01-07 06:00:00,12.7,66,0.0,11.5,3,2.5,89,82,0.0,0
2024-01-07 07:00:00,11.8,74,0.0,10.7,2,2.9,81,83,0.0,1
2024-01-07 08:00:00,12.2,77,0.0,11.4,3,2.6,84,56,78.9,1
2024-01-07 09:00:00,13.6,66,0.0,12.3,3,4.2,91,70,211.8,1
2024-01-07 10:00:00,14.6,58,0.0,12.4,3,8.9,83,63,347.6,1
2024-01-07 11:00:00,15.4,58,0.0,13.2,2,9.7,66,68,509.4,1
2024-01-07 12:00:00,16.0,57,0.0,13.5,2,13.2,64,73,572.8,1
2024-01-07 13:00:00,16.2,57,0.0,13.4,2,15.7,70,79,566.1,1
2024-01-07 14:00:00,16.3,55,0.0,13.1,2,17.3,48,90,482.3,1
2024-01-07 15:00:00,15.4,59,0.0,12.5,2,15.9,58,93,359.1,1
2024-01-07 16:00:00,14.6,61,0.0,11.8,2,14.1,58,96,202.6,1
2024-01-07 17:00:00,13.7,64,0.0,11.3,2,11.4,72,103,46.8,1
2024-01-07 18:00:00,12.7,68,0.0,10.6,2,8.9,71,117,0.0,0
2024-01-07 19:00:00,12.0,71,0.0,10.4,2,5.8,68,97,0.0,0
2024-01-07 20:00:00,12.1,73,0.0,10.9,2,3.6,93,84,0.0,0
2024-01-07 21:00:00,11.8,71,0.0,10.6,3,2.5,81,98,0.0,0
2024-01-07 22:00:00,11.8,69,0.0,10.6,3,2.4,97,63,0.0,0
2024-01-07 23:00:00,11.7,68,0.0,10.3,3,2.6,96,56,0.0,0
2024-01-08 00:00:00,11.4,68,0.0,9.8,2,3.3,81,49,0.0,0
2024-01-08 01:00:00,11.2,68,0.0,9.6,2,3.1,57,45,0.0,0
2024-01-08 02:00:00,10.9,64,0.0,9.1,2,2.9,81,7,0.0,0
2024-01-08 03:00:00,10.5,65,0.0,8.7,3,3.3,100,319,0.0,0
2024-01-08 04:00:00,10.0,69,0.0,8.2,3,3.4,100,302,0.0,0
2024-01-08 05:00:00,9.9,72,0.1,8.1,61,4.4,100,305,0.0,0
2024-01-08 06:00:00,9.9,73,0.0,8.0,3,5.0,90,300,0.0,0
2024-01-08 07:00:00,10.0,72,0.0,8.1,3,5.0,91,291,0.0,1
2024-01-08 08:00:00,10.5,72,0.0,8.9,3,3.9,97,292,79.1,1
2024-01-08 09:00:00,11.5,63,0.0,9.7,3,3.6,98,307,136.6,1
2024-01-08 10:00:00,12.2,61,0.0,10.2,3,5.2,97,335,182.4,1
2024-01-08 11:00:00,13.0,60,0.0,11.0,3,5.8,100,338,267.6,1
2024-01-08 12:00:00,13.5,60,0.0,11.8,3,5.2,99,344,281.9,1
2024-01-08 13:00:00,13.7,63,0.1,12.0,61,6.2,99,353,217.1,1
2024-01-08 14:00:00,13.4,65,0.0,11.9,3,5.1,100,356,164.0,1
2024-01-08 15:00:00,13.2,69,0.1,11.9,61,4.4,99,351,66.1,1
2024-01-08 16:00:00,12.8,74,0.6,11.7,61,4.3,100,355,35.1,1
2024-01-08 17:00:00,12.4,79,0.7,11.4,61,5.0,99,339,9.0,1
2024-01-08 18:00:00,12.1,81,0.2,11.2,61,4.3,99,336,0.0,0
2024-01-08 19:00:00,12.0,82,0.0,11.3,3,3.1,96,339,0.0,0
2024-01-08 20:00:00,11.8,84,0.0,11.3,3,2.1,99,329,0.0,0
2024-01-08 21:00:00,11.7,85,0.0,11.0,3,3.1,100,291,0.0,0
2024-01-08 22:00:00,11.5,86,0.0,10.9,3,3.4,97,302,0.0,0
2024-01-08 23:00:00,11.5,87,0.1,10.8,61,3.9,97,304,0.0,0
2024-01-09 00:00:00,11.4,88,0.3,10.8,61,3.8,100,311,0.0,0
2024-01-09 01:00:00,11.4,89,0.6,10.8,61,3.3,100,311,0.0,0
2024-01-09 02:00:00,11.4,92,0.8,11.0,61,3.3,99,311,0.0,0
2024-01-09 03:00:00,11.4,92,0.4,11.1,61,2.7,93,337,0.0,0
2024-01-09 04:00:00,11.6,92,0.1,11.4,61,2.0,95,315,0.0,0
2024-01-09 05:00:00,11.7,90,0.0,11.4,3,3.1,99,339,0.0,0
2024-01-09 06:00:00,11.8,90,0.0,11.7,3,1.1,100,72,0.0,0
2024-01-09 07:00:00,11.8,90,0.0,11.8,3,1.0,100,225,0.0,1
2024-01-09 08:00:00,12.2,91,0.0,12.3,3,1.4,100,270,75.5,1
2024-01-09 09:00:00,12.9,87,0.0,12.9,3,1.8,100,360,109.8,1
2024-01-09 10:00:00,13.6,84,0.0,13.8,3,1.3,100,326,149.4,1
2024-01-09 11:00:00,14.3,81,0.0,14.5,3,1.5,100,14,224.8,1
2024-01-09 12:00:00,15.6,77,0.1,15.7,3,2.3,100,18,362.7,1
2024-01-09 13:00:00,16.4,74,0.0,16.7,3,1.3,100,304,299.4,1
2024-01-09 14:00:00,17.1,73,0.0,17.8,3,0.5,100,315,280.6,1
2024-01-09 15:00:00,17.5,74,0.0,18.0,3,2.3,100,108,160.3,1
2024-01-09 16:00:00,17.3,75,0.0,18.0,3,1.1,100,108,85.0,1
2024-01-09 17:00:00,16.9,79,0.2,17.9,61,0.4,100,90,12.4,1
2024-01-09 18:00:00,16.1,86,0.2,17.0,61,2.3,100,141,0.0,0
2024-01-09 19:00:00,15.5,90,0.2,16.5,61,2.3,100,162,0.0,0
2024-01-09 20:00:00,15.0,94,0.2,16.0,61,2.4,100,153,0.0,0
2024-01-09 21:00:00,14.4,96,0.0,15.3,45,2.3,75,129,0.0,0
2024-01-09 22:00:00,14.0,97,0.0,14.9,45,2.3,82,129,0.0,0
2024-01-09 23:00:00,13.9,96,0.0,14.8,45,1.5,93,135,0.0,0
2024-01-10 00:00:00,14.0,95,0.0,14.8,3,1.5,84,104,0.0,0
2024-01-10 01:00:00,13.9,96,0.0,14.8,45,0.7,92,90,0.0,0
2024-01-10 02:00:00,14.0,94,0.0,14.8,45,1.8,89,281,0.0,0
2024-01-10 03:00:00,13.9,93,0.0,14.6,2,1.8,71,270,0.0,0
2024-01-10 04:00:00,13.6,91,0.0,14.1,2,1.5,46,256,0.0,0
2024-01-10 05:00:00,13.0,92,0.0,13.3,1,2.1,30,239,0.0,0
2024-01-10 06:00:00,11.8,95,0.0,11.8,1,2.5,32,225,0.0,0
2024-01-10 07:00:00,11.5,95,0.0,11.4,2,2.4,54,207,0.0,1
2024-01-10 08:00:00,13.1,88,0.0,13.2,2,1.6,72,207,101.5,1
2024-01-10 09:00:00,14.4,85,0.0,14.9,2,1.3,50,56,247.8,1
2024-01-10 10:00:00,16.2,78,0.0,16.3,2,5.0,58,60,431.2,1
2024-01-10 11:00:00,17.3,68,0.0,16.8,2,6.6,47,41,529.1,1
2024-01-10 12:00:00,18.1,62,0.0,17.1,2,8.4,59,47,551.8,1
2024-01-10 13:00:00,18.1,61,0.0,17.0,2,9.2,47,69,494.3,1
2024-01-10 14:00:00,18.2,61,0.0,17.2,2,8.5,47,78,441.1,1
2024-01-10 15:00:00,17.1,65,0.0,16.1,2,8.2,47,105,315.7,1
2024-01-10 16:00:00,16.2,68,0.0,14.8,2,10.8,56,120,197.2,1
2024-01-10 17:00:00,15.0,70,0.0,13.0,2,13.3,67,109,50.2,1
2024-01-10 18:00:00,14.0,74,0.0,12.3,2,10.5,69,112,0.0,0
2024-01-10 19:00:00,13.3,74,0.0,11.9,2,7.8,62,112,0.0,0
2024-01-10 20:00:00,13.0,73,0.0,11.5,2,7.5,66,107,0.0,0
2024-01-10 21:00:00,12.2,73,0.0,10.6,2,6.4,60,106,0.0,0
2024-01-10 22:00:00,11.7,75,0.0,10.4,2,4.8,67,103,0.0,0
2024-01-10 23:00:00,11.4,77,0.0,10.2,2,4.0,79,100,0.0,0
2024-01-11 00:00:00,11.1,78,0.0,9.9,2,3.6,80,96,0.0,0
2024-01-11 01:00:00,10.8,79,0.0,9.5,3,4.0,92,95,0.0,0
2024-01-11 02:00:00,10.7,76,0.0,9.3,3,4.0,92,80,0.0,0
2024-01-11 03:00:00,10.5,77,0.0,9.2,2,3.3,79,84,0.0,0
2024-01-11 04:00:00,10.2,77,0.0,8.9,3,2.9,89,97,0.0,0
2024-01-11 05:00:00,10.1,78,0.0,8.9,3,2.3,85,108,0.0,0
2024-01-11 06:00:00,10.0,79,0.0,8.7,3,2.5,86,98,0.0,0
2024-01-11 07:00:00,9.6,81,0.0,8.4,2,2.5,73,82,59.1,1
2024-01-11 08:00:00,10.3,78,0.0,9.1,2,2.6,28,304,136.7,1
2024-01-11 09:00:00,11.4,70,0.0,10.1,1,2.4,20,27,324.5,1
2024-01-11 10:00:00,12.6,63,0.0,10.8,2,5.1,55,45,494.0,1
2024-01-11 11:00:00,13.4,61,0.0,11.8,2,4.5,50,29,555.9,1
2024-01-11 12:00:00,14.4,56,0.0,13.0,2,5.0,47,60,618.4,1
2024-01-11 13:00:00,15.1,53,0.0,13.7,2,6.2,45,80,626.6,1
2024-01-11 14:00:00,15.6,51,0.0,13.7,1,7.9,39,87,557.1,1
2024-01-11 15:00:00,15.4,53,0.0,12.9,1,9.7,34,94,419.8,1
2024-01-11 16:00:00,14.3,58,0.0,11.7,1,11.8,12,102,239.1,1
2024-01-11 17:00:00,12.9,63,0.0,10.2,0,11.3,4,112,60.0,1
2024-01-11 18:00:00,11.7,69,0.0,9.8,0,7.1,0,114,0.0,0
2024-01-11 19:00:00,10.9,73,0.0,9.3,0,4.8,0,117,0.0,0
2024-01-11 20:00:00,10.4,80,0.0,9.1,0,3.6,0,127,0.0,0
2024-01-11 21:00:00,9.9,83,0.0,8.8,1,2.3,16,129,0.0,0
2024-01-11 22:00:00,9.7,83,0.0,8.8,1,1.3,30,146,0.0,0
2024-01-11 23:00:00,9.5,84,0.0,8.7,1,0.4,32,270,0.0,0
2024-01-12 00:00:00,9.0,86,0.0,8.0,2,1.8,62,270,0.0,0
2024-01-12 01:00:00,8.5,90,0.0,7.3,2,2.9,76,277,0.0,0
2024-01-12 02:00:00,8.2,93,0.0,7.0,3,2.9,86,300,0.0,0
2024-01-12 03:00:00,7.6,96,0.0,6.4,3,3.4,88,288,0.0,0
2024-01-12 04:00:00,7.5,96,0.0,6.2,45,3.6,78,276,0.0,0
2024-01-12 05:00:00,7.1,97,0.0,5.7,45,3.6,71,264,0.0,0
2024-01-12 06:00:00,6.6,98,0.0,5.1,45,3.9,63,248,0.0,0
2024-01-12 07:00:00,6.0,98,0.0,4.4,45,3.5,70,246,77.5,1
2024-01-12 08:00:00,7.0,97,0.0,5.7,45,3.1,71,249,133.0,1
2024-01-12 09:00:00,10.3,77,0.0,9.3,0,1.1,6,270,316.9,1
2024-01-12 10:00:00,12.6,66,0.0,11.6,0,1.3,0,56,494.1,1
2024-01-12 11:00:00,14.7,55,0.0,13.6,0,2.0,0,45,619.3,1
2024-01-12 12:00:00,16.7,46,0.0,15.9,0,2.1,0,59,678.9,1
2024-01-12 13:00:00,18.3,37,0.0,17.3,0,2.2,0,81,666.0,1
2024-01-12 14:00:00,18.7,38,0.0,17.3,0,3.6,0,90,584.4,1
2024-01-12 15:00:00,19.3,35,0.0,17.1,0,4.8,0,103,440.3,1
2024-01-12 16:00:00,19.1,40,0.0,16.9,0,6.6,0,103,254.3,1
2024-01-12 17:00:00,17.8,47,0.0,15.9,0,6.8,0,108,64.3,1
2024-01-12 18:00:00,15.6,55,0.0,13.9,0,5.5,0,122,0.0,0
2024-01-12 19:00:00,13.7,63,0.0,12.2,0,4.3,0,132,0.0,0
2024-01-12 20:00:00,12.3,73,0.0,11.2,0,3.3,0,139,0.0,0
2024-01-12 21:00:00,11.4,77,0.0,10.4,0,2.6,0,164,0.0,0
2024-01-12 22:00:00,10.9,79,0.0,9.9,0,2.5,0,188,0.0,0
2024-01-12 23:00:00,10.6,80,0.0,9.5,0,2.8,0,220,0.0,0
2024-01-13 00:00:00,10.0,83,0.0,8.9,0,2.7,0,247,0.0,0
2024-01-13 01:00:00,9.4,87,0.0,8.3,0,2.9,0,263,0.0,0
2024-01-13 02:00:00,8.8,90,0.0,7.6,0,3.2,0,243,0.0,0
2024-01-13 03:00:00,8.1,94,0.0,6.9,0,3.5,0,246,0.0,0
2024-01-13 04:00:00,7.6,97,0.0,6.4,45,3.2,45,243,0.0,0
2024-01-13 05:00:00,7.5,99,0.0,6.4,45,2.9,52,240,0.0,0
2024-01-13 06:00:00,7.3,99,0.0,6.2,45,2.6,55,236,0.0,0
2024-01-13 07:00:00,7.2,100,0.0,6.0,45,3.1,61,225,80.1,1
2024-01-13 08:00:00,8.6,98,0.0,7.5,45,4.2,56,250,140.5,1
2024-01-13 09:00:00,11.9,87,0.0,11.3,0,3.6,0,233,333.6,1
2024-01-13 10:00:00,15.1,65,0.0,14.7,0,0.4,0,360,517.0,1
2024-01-13 11:00:00,17.0,59,0.0,17.0,0,0.5,0,45,645.1,1
2024-01-13 12:00:00,18.8,46,0.0,18.6,0,2.1,0,59,704.6,1
2024-01-13 13:00:00,20.2,32,0.0,19.1,0,3.5,0,66,690.7,1
2024-01-13 14:00:00,20.8,29,0.0,18.8,0,5.9,0,79,605.2,1
2024-01-13 15:00:00,20.8,26,0.0,17.5,0,8.6,0,88,457.3,1
2024-01-13 16:00:00,19.9,26,0.0,16.3,0,10.5,0,94,266.5,1
2024-01-13 17:00:00,18.3,28,0.0,14.8,0,8.8,0,102,70.1,1
2024-01-13 18:00:00,16.2,36,0.0,13.6,0,4.7,0,122,0.0,0
2024-01-13 19:00:00,14.4,46,0.0,12.2,0,3.9,0,146,0.0,0
2024-01-13 20:00:00,13.9,56,0.0,12.4,0,2.6,0,146,0.0,0
2024-01-13 21:00:00,13.9,55,0.0,12.4,0,1.8,0,217,0.0,0
2024-01-13 22:00:00,13.5,55,0.0,11.6,0,4.0,0,260,0.0,0
2024-01-13 23:00:00,11.5,62,0.0,9.2,1,6.3,40,257,0.0,0
2024-01-14 00:00:00,10.6,67,0.0,8.3,2,6.6,65,257,0.0,0
2024-01-14 01:00:00,10.1,73,0.0,8.0,2,6.6,55,257,0.0,0
2024-01-14 02:00:00,10.1,71,0.0,8.0,2,6.6,59,261,0.0,0
2024-01-14 03:00:00,10.1,73,0.0,8.1,2,6.2,53,260,0.0,0
2024-01-14 04:00:00,10.0,74,0.0,8.0,2,5.8,65,263,0.0,0
2024-01-14 05:00:00,10.0,75,0.0,8.1,2,5.9,65,259,0.0,0
2024-01-14 06:00:00,10.2,74,0.0,8.3,2,5.4,77,262,0.0,0
2024-01-14 07:00:00,10.3,75,0.0,8.6,2,5.2,75,258,0.0,1
2024-01-14 08:00:00,11.6,71,0.0,9.9,2,6.1,87,270,116.4,1
2024-01-14 09:00:00,14.3,65,0.0,13.0,2,5.2,79,282,221.1,1
2024-01-14 10:00:00,16.8,55,0.0,15.4,2,5.5,77,302,383.5,1
2024-01-14 11:00:00,18.7,52,0.0,17.5,3,5.4,82,307,520.9,1
2024-01-14 12:00:00,20.1,51,0.0,19.3,2,5.4,67,318,533.9,1
2024-01-14 13:00:00,21.3,50,0.0,20.9,1,7.0,43,348,602.7,1
2024-01-14 14:00:00,22.5,46,0.0,21.6,2,6.8,63,18,515.8,1
2024-01-14 15:00:00,22.6,45,0.0,21.7,2,6.8,56,25,398.1,1
2024-01-14 16:00:00,22.4,46,0.0,21.4,2,7.9,54,30,229.9,1
2024-01-14 17:00:00,21.5,50,0.0,20.6,2,8.1,65,58,61.2,1
2024-01-14 18:00:00,19.8,59,0.0,19.4,1,5.8,38,94,0.0,0
