通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接
教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,2024-05-22,https://jwch.fzu.edu.cn/../info/1037/13524.htm,附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf,352,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613252
教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,2024-05-22,https://jwch.fzu.edu.cn/../info/1037/13524.htm,附件4：案例汇总表.docx,319,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613254
教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,2024-05-22,https://jwch.fzu.edu.cn/../info/1037/13524.htm,附件3：案例申报表.docx,275,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613253
教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,2024-05-17,https://jwch.fzu.edu.cn/../info/1037/13513.htm,附件1：福州大学第八届远志创业实验班招生简章.docx,978,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014
教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,2024-05-17,https://jwch.fzu.edu.cn/../info/1037/13513.htm,附件2：远志创业实验班修读申请表.docx,417,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612015
教学运行,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn/../info/1036/13501.htm,2302习概论期末考试.xlsx,488,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611555
教学运行,关于2025届预计毕业生核对电子注册学历信息的通知,2024-05-15,https://jwch.fzu.edu.cn/../info/1036/13497.htm,,,
教学运行,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn/../info/1036/13491.htm,2302计算机语言课期末考试6.1.xlsx,595,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611191
实践科,关于公布第十届桥梁设计大赛获奖名单的通知,2024-05-11,https://jwch.fzu.edu.cn/../info/1039/13481.htm,,,
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn/../info/1039/13479.htm,国创省创结题附件.zip,912,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14608195
实践科,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn/../info/1039/13478.htm,,,
教材中心,关于举办福州大学第五十二场“教学有道” 研讨活动的通知,2024-05-09,https://jwch.fzu.edu.cn/../info/1042/13477.htm,,,
综合科,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-05-08,https://jwch.fzu.edu.cn/../info/1035/13475.htm,,,
计划科,2023-2024学年第二学期在校学生申请辅修专业的通知,2024-05-07,https://jwch.fzu.edu.cn/../info/1038/13473.htm,,,
计划科,关于组织申报2024-2025学年第一学期通识教育选修课的通知,2024-05-06,https://jwch.fzu.edu.cn/../info/1038/13472.htm,,,
实践科,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn/../info/1039/13470.htm,,,
实践科,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn/../info/1039/13469.htm,,,
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件1：福州大学教材管理实施细则（试行）.pdf,283,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620223
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件2：福州大学本科教材编写人员汇总表.docx,293,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620221
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件3：福州大学本科教材编写人员审核表.docx,145,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918142
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件4：福州大学本科教材校外编写人员审核表.docx,244,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620634
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件5：福州大学本科教材编写审核表.docx,291,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620225
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/../info/1042/13417.htm,附件6：2024年福州大学拟出版教材汇总表.xlsx,254,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620226
实践科,关于对2024届本科毕业设计（论文）试行AIGC检测的通知,2024-04-28,https://jwch.fzu.edu.cn/../info/1039/13415.htm,,,
教学运行,关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,2024-04-28,https://jwch.fzu.edu.cn/../info/1036/13414.htm,2302 工程制图E期末考试 5.12上午.xlsx,463,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604454
实践科,关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,2024-04-26,https://jwch.fzu.edu.cn/../info/1039/13413.htm,,,
实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,2024-04-26,https://jwch.fzu.edu.cn/../info/1039/13411.htm,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,2170,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108
实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,2024-04-26,https://jwch.fzu.edu.cn/../info/1039/13411.htm,附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls,2705,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604109
质量办,关于举办福州大学第五十一场“教学有道”  研讨活动的通知,2024-04-26,https://jwch.fzu.edu.cn/../info/1040/13410.htm,,,
教学运行,关于2024年五一劳动节放假课程调整的通知,2024-04-26,https://jwch.fzu.edu.cn/../info/1036/13409.htm,,,
质量办,关于举办福州大学第五十场“教学有道”  研讨活动的通知,2024-04-24,https://jwch.fzu.edu.cn/../info/1040/13408.htm,,,
教学运行,关于2023-2024-02学期体育理论课安排的通知,2024-04-24,https://jwch.fzu.edu.cn/../info/1036/13406.htm,,,
实践科,关于举办2024年福州大学第二十四届数学竞赛的通知,2024-04-23,https://jwch.fzu.edu.cn/../info/1039/13405.htm,附件3：福州大学第二十四届数学竞赛大纲.pdf,1462,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14602578
实践科,福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,2024-04-22,https://jwch.fzu.edu.cn/../info/1039/13403.htm,,,
实践科,关于举办福州大学第六届大学生机器人竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn/../info/1039/13397.htm,附件.zip,477,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14601554
实践科,关于举办福州大学第十八届数学建模竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn/../info/1039/13396.htm,,,
实践科,关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2024-04-17,https://jwch.fzu.edu.cn/../info/1039/13391.htm,,,
质量办,关于举办福州大学第四十九场“教学有道”研讨活动的通知,2024-04-17,https://jwch.fzu.edu.cn/../info/1040/13390.htm,,,
综合科,关于第61届中国高等教育博览会的参会指南,2024-04-12,https://jwch.fzu.edu.cn/../info/1035/13378.htm,,,
计划科,关于召开2024版本科人才培养方案修订工作专题会议的通知,2024-04-11,https://jwch.fzu.edu.cn/../info/1038/13379.htm,,,
实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,2024-04-10,https://jwch.fzu.edu.cn/../info/1039/13375.htm,附件：维普论文检测系统查重标准及格式报告说明.doc,5593,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592996
教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,2024-04-10,https://jwch.fzu.edu.cn/../info/1036/13374.htm,附件2：获得图像采集码途径.pdf,404,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592958
教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,2024-04-10,https://jwch.fzu.edu.cn/../info/1036/13374.htm,附件1：行政北楼平面图.pdf,390,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592957
质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,2024-04-08,https://jwch.fzu.edu.cn/../info/1040/13353.htm,附件1：2023年福州大学新上岗教师教学达标培训班名单汇总表.xlsx,589,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592375
质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,2024-04-08,https://jwch.fzu.edu.cn/../info/1040/13353.htm,附件2：2023年新上岗教师课堂授课达标考核情况汇总表-学院一式三份报教务处.docx,446,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592376
教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn/../info/1036/13352.htm,2302线代半期考4.27上午.xlsx,496,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591952
教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn/../info/1036/13351.htm,2302大物半期考4.21下午.xlsx,564,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591958
教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn/../info/1036/13349.htm,2302概率半期考4.14下午.xlsx,462,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591439
教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn/../info/1036/13348.htm,2302高数半期考4.14上午.xlsx,700,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591438
综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn/../info/1035/13347.htm,附件4：参会教师名单收集汇总表.xls,333,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590885
综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn/../info/1035/13347.htm,附件2：高博会日程总览.jpg,324,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590884
综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn/../info/1035/13347.htm,附件3：报名二维码.doc,274,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590883
综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn/../info/1035/13347.htm,附件1：各单位选派教师参会名额安排表.xlsx,325,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590882
教学运行,关于2024年清明节放假课程调整的通知,2024-04-01,https://jwch.fzu.edu.cn/../info/1036/13343.htm,,,
实践科,关于举办福州大学第十五届企业经营模拟沙盘对抗赛的通知,2024-03-27,https://jwch.fzu.edu.cn/../info/1039/13335.htm,附件：福州大学第十五届企业经营模拟沙盘对抗赛报名表.doc,716,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589204
实践科,关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,2024-03-27,https://jwch.fzu.edu.cn/../info/1039/13334.htm,附件1：中大计赛函[2024]1 号 关于举办“2024 年（第 17 届）中国大学生计算机设计大赛”的 通 知.pdf,581,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589112
实践科,关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,2024-03-27,https://jwch.fzu.edu.cn/../info/1039/13334.htm,附件2 2024年（第17届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx,466,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589111
实践科,关于举办福州大学第四届大学生先进成图技术与产品信息建模创新大赛的通知,2024-03-27,https://jwch.fzu.edu.cn/../info/1039/13333.htm,附件2：福州大学第四届大学生先进成图技术与产品信息建模创新大赛报名表.xls,578,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589086
实践科,关于举办福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛的通知,2024-03-22,https://jwch.fzu.edu.cn/../info/1039/13331.htm,附件1-4.doc,520,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14587055
实践科,关于举办福州大学第八届网络信息安全竞赛的通知,2024-03-21,https://jwch.fzu.edu.cn/../info/1039/13329.htm,,,
教学运行,关于做好2024-2025学年第一学期排课准备工作的通知,2024-03-18,https://jwch.fzu.edu.cn/../info/1036/13322.htm,,,
综合科,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,2024-03-14,https://jwch.fzu.edu.cn/../info/1035/13313.htm,,,
实践科,关于举办福州大学第十三届大学生软件设计与服务外包创新创业竞赛的通知,2024-03-13,https://jwch.fzu.edu.cn/../info/1039/13312.htm,,,
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,2024-03-13,https://jwch.fzu.edu.cn/../info/1038/13310.htm,,,
综合科,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知,2024-03-13,https://jwch.fzu.edu.cn/../info/1035/13309.htm,,,
实践科,关于转发《关于邀请省内高校大学生参与2024数字中国创新大赛的函》的通知,2024-03-12,https://jwch.fzu.edu.cn/../info/1039/13308.htm,附件：数字中国建设峰会组委会秘书处关于商请邀请省内高校学生参与2024数字中国创新大赛的函.pdf,760,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583438
教学运行,关于2023-2024学年第二学期重新学习选课、缴费的通知,2024-03-11,https://jwch.fzu.edu.cn/../info/1036/13306.htm,,,
计划科,关于2023-2024学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2024-03-11,https://jwch.fzu.edu.cn/../info/1038/13305.htm,,,
质量办,关于组织教师参加第四届福建省教师教学创新大赛产教融合赛道的通知,2024-03-06,https://jwch.fzu.edu.cn/../info/1040/13301.htm,附件2 福州大学教师教学创新大赛产教融合赛道 学院推荐名单汇总表.docx,341,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581598
质量办,关于组织教师参加第四届福建省教师教学创新大赛产教融合赛道的通知,2024-03-06,https://jwch.fzu.edu.cn/../info/1040/13301.htm,附件1 关于举办第第四届全国高校教师教学创新大赛产教融合赛道赛事的通知.pdf,684,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581597
实践科,关于参加2024年（第十届）全国大学生统计建模大赛的通知,2024-03-05,https://jwch.fzu.edu.cn/../info/1039/13296.htm,,,
实践科,关于做好第三十期本科生科研训练计划项目立项申报工作的通知,2024-03-05,https://jwch.fzu.edu.cn/../info/1039/13294.htm,第30期SRTP附件.zip,3556,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581442
计划科,关于公布2023-2024学年第二学期通选课取消开课名单的通知,2024-03-04,https://jwch.fzu.edu.cn/../info/1038/13293.htm,,,
综合科,关于2023-2024学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-02-29,https://jwch.fzu.edu.cn/../info/1035/13280.htm,,,
教学运行,关于做好2024年3月退役复学学生转专业的通知,2024-02-27,https://jwch.fzu.edu.cn/../info/1036/13284.htm,福州大学参军退伍复学后学生转专业审批表.doc,486,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580283
教学运行,关于做好2024年3月退役复学学生转专业的通知,2024-02-27,https://jwch.fzu.edu.cn/../info/1036/13284.htm,福州大学本科生转专业管理实施办法（暂行）.docx,550,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580282
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,2024-02-27,https://jwch.fzu.edu.cn/../info/1038/13283.htm,附件1国际化拔尖创新人才科研训练具体课程清单.xlsx,1818,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580133
实践科,关于2024届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2024-02-26,https://jwch.fzu.edu.cn/../info/1039/13281.htm,福州大学本科生创新创业实践与素质拓展学分申报汇总表、申请表.doc,2219,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579917
计划科,关于2023-2024学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1038/13279.htm,2023-2024学年第二学期国情课列表.docx,744,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579883
实践科,关于对2023年学院教学有关数据进行统计的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1039/13278.htm,2023年学院教学有关数据统计表格下载.zip,731,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579832
计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1038/13277.htm,24春夏智慧树学生手册更新（可导学用）最新E(2).pptx,418,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583720
计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1038/13277.htm,超星尔雅使用手册（学生版）.pdf,2126,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579829
计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1038/13277.htm,慕课堂学生操作手册.pdf,1597,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579831
质量办,关于开学第一周集中听课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1040/13276.htm,附件1：福州大学课堂教学质量评估表.doc,317,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579817
质量办,关于开学第一周集中听课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1040/13276.htm,附件2：2023-2024学年第二学期第一周课表.xlsx,418,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579818
质量办,关于开学第一周集中听课的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1040/13276.htm,附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,304,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579819
教学运行,关于2023-2024第二学期学期选课、辅修选课补退选的通知,2024-02-25,https://jwch.fzu.edu.cn/../info/1036/13275.htm,,,
实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,2024-02-06,https://jwch.fzu.edu.cn/../info/1039/13272.htm,附件1：实验教学和教学实验室建设研究项目申报书.docx,542,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578976
实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,2024-02-06,https://jwch.fzu.edu.cn/../info/1039/13272.htm,附件2：实验教学和教学实验室建设研究项目推荐汇总表（福建省）.xls,469,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578975
实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,2024-02-06,https://jwch.fzu.edu.cn/../info/1039/13272.htm,附件3：教高司函〔2024〕1号教育部高等教育司关于开展实验教学和教学实验室建设研究工作的通知（3月29日前）.pdf,560,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578977
教学运行,关于2024年春季学期《大学物理实验》绪论课程教室安排的通知,2024-01-20,https://jwch.fzu.edu.cn/../info/1036/13254.htm,2024大物实验（上）绪论排课.xlsx,742,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14576449
综合科,教务处关于2024年寒假用印安排的通知,2024-01-20,https://jwch.fzu.edu.cn/../info/1035/13252.htm,,,
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,2024-01-18,https://jwch.fzu.edu.cn/../info/1042/13251.htm,福建省教育厅关于开展福建省“十四五”普通高等教育本科规划教材建设工作的通知.pdf,624,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14575797
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,2024-01-18,https://jwch.fzu.edu.cn/../info/1042/13251.htm,附件1.福建省普通高等教育“十四五”规划教材建设立项申报书.docx,603,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14575798
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,2024-01-18,https://jwch.fzu.edu.cn/../info/1042/13251.htm,附件2.福建省普通高等学校“十四五”规划教材建设项目申报汇总表.docx,459,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14575799
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,2024-01-18,https://jwch.fzu.edu.cn/../info/1042/13251.htm,单位审核意见书（参考模板）.docx,541,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14575800
质量办,关于上报学院本科教育教学质量保障2023年工作总结和2024年工作计划的通知,2024-01-12,https://jwch.fzu.edu.cn/../info/1040/13248.htm,,,
计划科,关于核对2023-2024学年第二学期通识教育选修课开课信息的通知,2024-01-11,https://jwch.fzu.edu.cn/../info/1038/13245.htm,,,
综合科,关于召开2023-2024学年秋季学期期末本科教育教学工作会议的通知,2024-01-10,https://jwch.fzu.edu.cn/../info/1035/13242.htm,,,
教学运行,关于2023-2024学年第二学期辅修专业选课的通知,2024-01-09,https://jwch.fzu.edu.cn/../info/1036/13241.htm,,,
实践科,关于组织参加2024年美国大学生数学建模竞赛通知,2024-01-08,https://jwch.fzu.edu.cn/../info/1039/13231.htm,附录：2024年2月美国大学生数学建模竞赛介绍及参赛流程.pdf,3450,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14573632
教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-01-03,https://jwch.fzu.edu.cn/../info/1036/13221.htm,,,
教学运行,关于2023-2024学年第一学期《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13213.htm,2301高等数学C（上）、D期末考试 1.19下午.xlsx,609,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571714
教学运行,关于2023-2024学年第一学期《高等数学A（上）》、《高等数学B（上）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13212.htm,2301高等数学A（上）、B（上）期末考试 1.19上午.xlsx,842,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571713
教学运行,关于2023-2024学年第一学期《大学物理A（下）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13211.htm,2301大学物理A（下）期末考试 1.18上午.xlsx,567,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571712
教学运行,关于2023-2024学年第一学期《大学英语（二）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13210.htm,2301大学英语（二）期末考试 1.15上午、下午.xlsx,704,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571711
教学运行,关于2023-2024学年第一学期《大学英语（一）》、《大学英语（三）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13209.htm,2301大学英语（一）、（三）期末考试 1.14上午.xlsx,442,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571710
教学运行,关于2023-2024学年第一学期《工程制图A（上）》、《工程制图C（上）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/../info/1036/13208.htm,2301制图A(上）、C（上）、D、F期末考试 1.13上午.xlsx,464,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571709
